Class,Data
draw,"-358.43643,85.5357,-51.761677,17.762552,-39.729614,3.5056195,-2.2724063,-3.4627426,-5.4692535,-9.971507,-2.2935169,-12.441629,2.055602,-4.123498,2.1756973,1.1262467,-4.4423895,-12.003824,-13.479977,-2.7792826"
draw,"-330.40445,82.502144,-65.97823,-14.225485,-54.742126,1.2154411,-15.118682,-7.6670265,3.2117443,-16.162601,-2.3399227,-20.291334,-14.901676,-6.067615,-7.6065416,-9.332474,-12.553659,-14.648583,0.15209411,20.036482"
draw,"-372.30487,69.279724,-32.62151,-3.8014212,-46.272614,8.176043,-13.232882,-3.1335592,1.2679317,-18.962208,8.266366,-8.278543,-6.391162,-3.2460794,-5.211467,-1.3570528,-0.9638267,-7.6388097,-16.854036,-3.9348872"
draw,"-376.51538,91.36529,-30.808884,4.0794187,-54.758614,8.804598,-17.09312,1.3432177,-5.868949,-18.33487,2.0748496,-14.06074,-5.3624463,-7.1309543,-3.8975255,-8.510823,-0.017564127,-8.729689,-12.930178,-1.056754"
draw,"-384.81192,79.21902,-30.030909,2.7759786,-34.449608,-3.1155286,-20.654522,0.57911474,-9.934899,-11.944078,5.578733,-11.913328,-5.100696,-7.309766,-3.8457396,-6.7173395,0.24481723,-10.38389,-6.537604,1.9532522"
draw,"-466.75024,117.357185,-14.290723,-3.9945354,-24.900028,-1.8940893,-6.629617,2.673938,-2.2385583,-7.8452544,4.999556,-8.185807,-6.4428926,-5.381141,-5.7503347,0.1399853,0.64939845,-8.826837,-5.231933,-1.1171423"
draw,"-470.10165,113.59468,-19.492176,-0.2540752,-24.36135,-4.2884836,-8.754712,2.4506936,1.2988024,-8.379997,0.81086504,-8.320772,-0.9972213,-2.3463807,-9.016414,-2.9767222,-0.72413373,-11.272215,-4.422807,0.8569255"
draw,"-471.48456,129.66026,-27.53831,4.4555864,-28.16207,11.127989,-3.7248683,1.9385865,6.5056367,-5.9364967,1.0350052,-6.623615,-4.9241595,-8.754852,-5.9127154,-6.090437,-4.665669,-11.280478,-6.722204,-1.215038"
draw,"-504.4054,128.1109,8.335776,9.308489,-7.211129,-6.9615626,-14.335315,4.2864666,-8.364185,-3.9826796,-7.9965496,-5.7887635,1.8310666,-17.419456,-6.2819567,-7.8691206,-7.032017,-7.2554393,-5.1715236,-4.403135"
draw,"-490.59302,149.82458,8.774464,-8.411147,-13.232629,-3.7918997,-13.945785,1.4543973,-8.330262,-10.1630535,-5.331784,-6.430567,-5.7818327,-16.61425,-8.416686,-5.2291665,-6.5060086,-12.524191,-5.824759,-4.783715"
draw,"-430.94324,101.84419,6.404082,-5.185675,-16.102152,-0.40936968,-14.720935,4.3546667,-12.885901,-5.5900354,-0.5847254,-6.150276,-1.7017232,-16.59358,-4.127127,-6.570641,-5.345597,-7.799513,-6.0033894,-1.9422538"
draw,"-514.80023,129.96242,11.364414,-1.4601088,-4.221917,0.6847615,-5.3926444,5.088132,-3.452362,-3.1316152,-4.568009,-7.171806,-3.3719728,-11.996776,-4.4206557,-4.304174,-6.777114,-7.896204,-4.5584807,-5.391509"
draw,"-518.1397,138.5617,11.972548,10.793153,-13.948892,-0.36499414,-10.387522,4.684712,-6.9380136,-6.0033193,-11.724934,-10.941594,0.6284272,-17.123014,-2.0490139,-5.2037854,-3.2303367,-7.600052,-8.165462,-0.13550732"
draw,"-518.1397,138.5617,11.972548,10.793153,-13.948892,-0.36499414,-10.387522,4.684712,-6.9380136,-6.0033193,-11.724934,-10.941594,0.6284272,-17.123014,-2.0490139,-5.2037854,-3.2303367,-7.600052,-8.165462,-0.13550732"
draw,"-514.80023,129.96242,11.364414,-1.4601088,-4.221917,0.6847615,-5.3926444,5.088132,-3.452362,-3.1316152,-4.568009,-7.171806,-3.3719728,-11.996776,-4.4206557,-4.304174,-6.777114,-7.896204,-4.5584807,-5.391509"
draw,"-430.94324,101.84419,6.404082,-5.185675,-16.102152,-0.40936968,-14.720935,4.3546667,-12.885901,-5.5900354,-0.5847254,-6.150276,-1.7017232,-16.59358,-4.127127,-6.570641,-5.345597,-7.799513,-6.0033894,-1.9422538"
draw,"-490.59302,149.82458,8.774464,-8.411147,-13.232629,-3.7918997,-13.945785,1.4543973,-8.330262,-10.1630535,-5.331784,-6.430567,-5.7818327,-16.61425,-8.416686,-5.2291665,-6.5060086,-12.524191,-5.824759,-4.783715"
draw,"-504.4054,128.1109,8.335776,9.308489,-7.211129,-6.9615626,-14.335315,4.2864666,-8.364185,-3.9826796,-7.9965496,-5.7887635,1.8310666,-17.419456,-6.2819567,-7.8691206,-7.032017,-7.2554393,-5.1715236,-4.403135"
knowledge,"-475.36615,103.70662,-30.549938,31.431131,-8.807812,2.0578935,-13.001349,5.9590025,4.6735463,-15.417073,0.3742419,-13.389695,-0.4887959,1.3241007,-10.818008,-6.1922626,-5.7927327,-7.97292,-7.488403,-7.144785"
knowledge,"-488.37473,103.4061,-5.6865783,32.100006,-7.612771,-4.689413,-12.232937,-1.691933,-6.220485,-11.0234995,-0.61046946,-14.498897,0.9452568,-0.5126984,-13.776501,-0.39380687,-5.783454,-11.26313,-4.6195426,-9.567891"
knowledge,"-489.80023,102.69646,-15.937798,28.541157,-7.279095,-2.4280124,-10.678642,3.9352157,-6.0579863,-16.323742,1.4349298,-12.445325,-1.5508857,-2.5653276,-17.910912,-1.6277087,-0.41508,-10.717277,-3.1132975,-5.250184"
knowledge,"-482.3828,99.67529,-5.0611486,20.022774,-0.8543774,6.0027566,-10.806835,1.046948,1.9787737,-8.02652,-0.030383362,-8.148317,0.7780888,-0.6506476,-7.21949,-3.4094474,-5.0723534,-13.779382,-9.079789,-3.1464014"
knowledge,"-497.27728,102.593544,-7.7784142,33.119144,1.0561776,-0.8552834,-9.332444,0.8523919,-5.8406377,-11.529207,-1.0637584,-14.782008,1.9289125,-0.6334286,-12.493047,0.6784904,-3.2404935,-10.3186,-7.8644104,-7.1908975"
knowledge,"-497.27728,102.593544,-7.7784142,33.119144,1.0561776,-0.8552834,-9.332444,0.8523919,-5.8406377,-11.529207,-1.0637584,-14.782008,1.9289125,-0.6334286,-12.493047,0.6784904,-3.2404935,-10.3186,-7.8644104,-7.1908975"
knowledge,"-482.3828,99.67529,-5.0611486,20.022774,-0.8543774,6.0027566,-10.806835,1.046948,1.9787737,-8.02652,-0.030383362,-8.148317,0.7780888,-0.6506476,-7.21949,-3.4094474,-5.0723534,-13.779382,-9.079789,-3.1464014"
knowledge,"-489.80023,102.69646,-15.937798,28.541157,-7.279095,-2.4280124,-10.678642,3.9352157,-6.0579863,-16.323742,1.4349298,-12.445325,-1.5508857,-2.5653276,-17.910912,-1.6277087,-0.41508,-10.717277,-3.1132975,-5.250184"
knowledge,"-488.37473,103.4061,-5.6865783,32.100006,-7.612771,-4.689413,-12.232937,-1.691933,-6.220485,-11.0234995,-0.61046946,-14.498897,0.9452568,-0.5126984,-13.776501,-0.39380687,-5.783454,-11.26313,-4.6195426,-9.567891"
knowledge,"-475.36615,103.70662,-30.549938,31.431131,-8.807812,2.0578935,-13.001349,5.9590025,4.6735463,-15.417073,0.3742419,-13.389695,-0.4887959,1.3241007,-10.818008,-6.1922626,-5.7927327,-7.97292,-7.488403,-7.144785"
knowledge,"-487.2927,130.40817,-7.1681514,19.643597,-3.237271,-8.591584,-3.034629,-2.1393697,-5.25581,-4.3584514,0.8646328,-2.2819736,2.028103,-1.3361598,-7.1011696,-3.429777,-0.4209993,-6.920257,-4.3780513,-2.8869355"
knowledge,"-485.1863,131.10777,-4.92333,18.896984,-4.461309,-21.681606,-11.70086,-7.273559,-8.046909,-5.983023,-1.3078704,-4.453091,-4.058592,-3.9251115,-7.590217,-7.3093266,-4.852798,-9.04168,-7.4124503,-4.6057096"
knowledge,"-528.506,118.208374,-10.199341,36.502304,0.56823707,-8.707047,-8.2543745,-9.553449,-2.74639,0.4499284,-1.301548,-3.2703614,0.6104054,-6.410649,-7.6610084,-8.206397,-6.42053,-6.825273,-6.221424,-2.5819"
knowledge,"-460.07886,114.70729,-13.180571,18.77368,-0.037821405,-8.105533,-13.602605,-10.170687,-2.9454575,-3.1613777,4.9355,-1.1432859,-8.051806,-0.46267295,-3.7221704,-10.58313,-4.5053554,-9.347363,-4.821071,0.27656037"
knowledge,"-501.22623,109.71635,-7.374448,23.843113,-0.14670826,-9.209098,-11.325342,-13.062803,-2.3587227,-2.3030384,-2.8362007,-0.10430595,-2.8801763,-2.7933044,-4.041405,-11.4909315,-6.384861,-6.9244833,-5.8105373,-2.2663317"
knowledge,"-487.2927,130.40817,-7.1681514,19.643597,-3.237271,-8.591584,-3.034629,-2.1393697,-5.25581,-4.3584514,0.8646328,-2.2819736,2.028103,-1.3361598,-7.1011696,-3.429777,-0.4209993,-6.920257,-4.3780513,-2.8869355"
knowledge,"-485.1863,131.10777,-4.92333,18.896984,-4.461309,-21.681606,-11.70086,-7.273559,-8.046909,-5.983023,-1.3078704,-4.453091,-4.058592,-3.9251115,-7.590217,-7.3093266,-4.852798,-9.04168,-7.4124503,-4.6057096"
knowledge,"-528.506,118.208374,-10.199341,36.502304,0.56823707,-8.707047,-8.2543745,-9.553449,-2.74639,0.4499284,-1.301548,-3.2703614,0.6104054,-6.410649,-7.6610084,-8.206397,-6.42053,-6.825273,-6.221424,-2.5819"
knowledge,"-460.07886,114.70729,-13.180571,18.77368,-0.037821405,-8.105533,-13.602605,-10.170687,-2.9454575,-3.1613777,4.9355,-1.1432859,-8.051806,-0.46267295,-3.7221704,-10.58313,-4.5053554,-9.347363,-4.821071,0.27656037"
knowledge,"-501.22623,109.71635,-7.374448,23.843113,-0.14670826,-9.209098,-11.325342,-13.062803,-2.3587227,-2.3030384,-2.8362007,-0.10430595,-2.8801763,-2.7933044,-4.041405,-11.4909315,-6.384861,-6.9244833,-5.8105373,-2.2663317"
knowledge,"-537.28015,130.40831,-32.98026,23.698776,2.8700018,-3.9803746,-13.875287,1.2396306,-1.0474551,-14.054775,-4.249656,3.4972112,-5.624822,-2.3615873,-0.89741826,-7.8686028,2.601653,-14.133992,-2.6696365,-2.41181"
knowledge,"-467.3933,110.24956,-25.951942,12.003276,-11.715648,6.2580867,-8.973578,-3.7371476,-8.210755,-4.261707,-1.9077697,-8.536944,-3.3322814,-4.75872,-8.928695,-8.086301,4.420029,-11.522428,-1.5669029,-1.9836837"
knowledge,"-409.25882,111.67289,-18.191591,8.828205,-22.46196,16.839134,-17.991905,-0.968232,-1.4875469,-6.6832094,8.21461,-8.398268,-3.8424149,-4.74351,-6.6506505,-7.9254713,1.3547938,-13.2503195,-7.5467257,-1.6400284"
knowledge,"-388.24265,77.06907,-33.529205,12.949868,-34.843563,0.68665665,-21.582922,-11.343068,4.6411643,-16.351316,1.9316407,-8.058674,-6.335182,-1.428934,-9.045463,-9.326128,-4.1567106,-7.271227,-13.3253975,-7.9082866"
knowledge,"-430.45837,86.50222,-18.144617,11.213585,-33.01818,8.140121,-22.282879,-3.702679,-4.571992,-7.6816835,2.7860081,-16.40369,0.88823605,-0.32246295,-7.792933,-10.727487,-0.97291005,-12.4265375,-6.2620096,2.6229353"
knowledge,"-555.7342,123.74528,-12.764274,12.186892,-4.912243,4.050885,-4.897724,-5.2027473,-1.1043806,-8.563371,-5.2632575,-0.6929118,-8.583794,-4.7362237,0.4712917,-6.760891,-0.06089413,-11.855879,-8.322174,-1.4569018"
knowledge,"-490.86993,106.107,-21.940388,18.751097,-2.2267044,-3.6669044,-9.461581,2.506129,-5.0868044,-17.235619,-7.267527,-2.3189368,-13.536004,-7.1707063,1.1565495,-7.958153,1.2258083,-12.827293,-2.3939414,0.9832948"
knowledge,"-488.70877,123.57898,-39.71685,14.618565,-4.5160513,2.7186918,-12.534512,0.7811653,-1.2627652,-13.187465,-4.526896,-7.219082,-7.536009,0.1555166,-5.675922,-8.1914425,4.5934362,-14.916596,-3.0603843,-3.283235"
